Age by year of birth and completed years of age,Legal marital status,Type of building,Census year,Territory,Data type,Gender,Age,0,Flags
"all items","total","all items","2011","Toscana","resident population (absolute values)","total","until 5 years",191131,
"all items","total","all items","2011","Toscana","resident population (absolute values)","total","total",3672202,
"all items","total","all items","2011","Forlì-Cesena","elder for child","total","total",4.01,
"all items","total","all items","2011","Parma","elder for child","total","total",4.18,
"all items","total","all items","2011","Reggio nell'Emilia","resident population (absolute values)","total","total",517316,
"all items","total","all items","2011","Ravenna","population aged 65 and over (percentage values)","females","65 years and over",57.16,
"all items","total","all items","2011","Massa-Carrara","resident population (absolute values)","females","total",103896,
"all items","total","all items","2011","Massa-Carrara","resident population (absolute values)","total","75 years and over",25699,
"all items","total","all items","2011","Bologna","resident population (percentage values)","total","85 years and over",3.87,
"all items","total","all items","2011","Ferrara","population aged 85 and over (percentage values)","females","85 years and over",69.82,
"all items","total","all items","2011","Forlì-Cesena","resident population (percentage values)","total","until 5 years",5.66,
"all items","total","all items","2011","Massa-Carrara","resident population (percentage values)","total","until 5 years",4.66,
"all items","total","all items","2011","Modena","elder for child","total","total",3.57,
"all items","total","all items","2011","Lucca","resident population (percentage values)","total","75 years and over",11.98,
"all items","total","all items","2011","Pistoia","population aged 75 and over (percentage values)","females","75 years and over",61.41,
"all items","total","all items","2011","Ferrara","resident population (percentage values)","total","75 years and over",13.55,
"all items","total","all items","2011","Rimini","dependency ratio ","total","total",54.26,
"all items","total","all items","2011","Reggio nell'Emilia","resident population (percentage values)","total","65 years and over",20.23,
"all items","total","all items","2011","Forlì-Cesena","resident population (absolute values)","total","75 years and over",45521,
"all items","total","all items","2011","Centro (I)","resident population (percentage values)","total","85 years and over",3.16,
"all items","total","all items","2011","Bologna","resident population (absolute values)","females","total",509486,
"all items","total","all items","2011","Rimini","resident population (absolute values)","females","until 4 years",7594,
"all items","total","all items","2011","Rimini","resident population (percentage values)","total","75 years and over",10.72,
"all items","total","all items","2011","Modena","resident population (absolute values)","total","75 years and over",75916,
"all items","total","all items","2011","Rimini","resident population (percentage values)","total","85 years and over",3.17,
"all items","total","all items","2011","Ravenna","population aged 75 and over (percentage values)","females","75 years and over",60.4,
"all items","total","all items","2011","Reggio nell'Emilia","ageing index ","total","total",132.77,
"all items","total","all items","2011","Ravenna","resident population (absolute values)","total","65 years and over",93346,
"all items","total","all items","2011","Centro (I)","resident population (percentage values)","total","75 years and over",11.12,
"all items","total","all items","2011","Parma","population aged 75 and over (percentage values)","females","75 years and over",62.33,
"all items","total","all items","2011","Toscana","resident population (absolute values)","total","until 4 years",159323,
"all items","total","all items","2011","Forlì-Cesena","population aged 75 and over (percentage values)","females","75 years and over",60.49,
"all items","total","all items","2011","Toscana","ageing index ","total","total",187.33,
"all items","total","all items","2011","Pistoia","dependency ratio ","total","total",57.09,
"all items","total","all items","2011","Ravenna","resident population (percentage values)","total","75 years and over",13,
"all items","total","all items","2011","Bologna","elder for child","total","total",4.43,
"all items","total","all items","2011","Forlì-Cesena","resident population (absolute values)","females","total",200827,
"all items","total","all items","2011","Massa-Carrara","population aged 75 and over (percentage values)","females","75 years and over",64.06,
"all items","total","all items","2011","Ravenna","dependency ratio ","total","total",59.2,
"all items","total","all items","2011","Trentino Alto Adige / Südtirol","elder for child","total","total",3.05,
"all items","total","all items","2011","Centro (I)","dependency ratio ","total","total",54.79,
"all items","total","all items","2011","Centro (I)","resident population (absolute values)","total","65 years and over",2556023,
"all items","total","all items","2011","Centro (I)","sex ratio","total","total",92.32,
"all items","total","all items","2011","Umbria","population aged 85 and over (percentage values)","females","85 years and over",68.3,
"all items","total","all items","2011","Livorno","resident population (absolute values)","total","until 5 years",16521,
"all items","total","all items","2011","Umbria","resident population (absolute values)","females","until 4 years",19073,
"all items","total","all items","2011","Pisa","population aged 75 and over (percentage values)","females","75 years and over",61.13,
"all items","total","all items","2011","Macerata","population aged 75 and over (percentage values)","females","75 years and over",60.74,
"all items","total","all items","2011","Terni","resident population (percentage values)","total","65 years and over",25.54,
"all items","total","all items","2011","Arezzo","sex ratio","total","total",93.98,
"all items","total","all items","2011","Marche","resident population (absolute values)","total","until 4 years",69566,
"all items","total","all items","2011","Umbria","resident population (percentage values)","total","until 4 years",4.44,
"all items","total","all items","2011","Ancona","resident population (absolute values)","total","until 5 years",26241,
"all items","total","all items","2011","Firenze","resident population (absolute values)","total","total",973145,
"all items","total","all items","2011","Pesaro e Urbino","elder for child","total","total",3.92,
"all items","total","all items","2011","Terni","ageing index ","total","total",209.74,
"all items","total","all items","2011","Ancona","ageing index ","total","total",172.05,
"all items","total","all items","2011","Umbria","resident population (percentage values)","total","until 5 years",5.33,
"all items","total","all items","2011","Pistoia","sex ratio","total","total",92.15,
"all items","total","all items","2011","Siena","sex ratio","total","total",91.83,
"all items","total","all items","2011","Ancona","resident population (percentage values)","total","65 years and over",23.21,
"all items","total","all items","2011","Terni","resident population (absolute values)","total","until 4 years",9238,
"all items","total","all items","2011","Marche","resident population (absolute values)","total","until 5 years",83242,
"all items","total","all items","2011","Prato","population aged 75 and over (percentage values)","females","75 years and over",61.04,
"all items","total","all items","2011","Pistoia","resident population (absolute values)","total","total",287866,
"all items","total","all items","2011","Pesaro e Urbino","resident population (percentage values)","total","until 5 years",5.63,
"all items","total","all items","2011","Perugia","resident population (absolute values)","total","until 4 years",30024,
"all items","total","all items","2011","Livorno","resident population (absolute values)","total","until 4 years",13746,
"all items","total","all items","2011","Pisa","resident population (absolute values)","total","65 years and over",94249,
"all items","total","all items","2011","Macerata","population aged 85 and over (percentage values)","females","85 years and over",67.89,
"all items","total","all items","2011","Siena","resident population (absolute values)","total","until 5 years",13902,
"all items","total","all items","2011","Siena","resident population (percentage values)","total","65 years and over",24.94,
"all items","total","all items","2011","Pistoia","resident population (absolute values)","total","until 4 years",12609,
"all items","total","all items","2011","Perugia","resident population (percentage values)","total","65 years and over",23.1,
"all items","total","all items","2011","Livorno","resident population (percentage values)","total","65 years and over",25.3,
"all items","total","all items","2011","Perugia","ageing index ","total","total",173.52,
"all items","total","all items","2011","Pistoia","resident population (absolute values)","total","until 5 years",15162,
"all items","total","all items","2011","Pisa","sex ratio","total","total",93.49,
"all items","total","all items","2011","Marche","resident population (percentage values)","total","until 5 years",5.4,
"all items","total","all items","2011","Arezzo","resident population (absolute values)","total","until 4 years",15007,
"all items","total","all items","2011","Umbria","population aged 75 and over (percentage values)","females","75 years and over",61.27,
"all items","total","all items","2011","Pesaro e Urbino","resident population (absolute values)","females","total",186082,
"all items","total","all items","2011","Pisa","resident population (percentage values)","total","65 years and over",22.92,
"all items","total","all items","2011","Grosseto","resident population (absolute values)","total","total",220564,
"all items","total","all items","2011","Pesaro e Urbino","resident population (absolute values)","females","until 4 years",8264,
"all items","total","all items","2011","Siena","population aged 85 and over (percentage values)","females","85 years and over",68.01,
"all items","total","all items","2011","Arezzo","resident population (percentage values)","total","65 years and over",23.18,
"all items","total","all items","2011","Siena","resident population (percentage values)","total","85 years and over",4.3,
"all items","total","all items","2011","Livorno","population aged 65 and over (percentage values)","females","65 years and over",57.4,
"all items","total","all items","2011","Prato","resident population (absolute values)","total","until 4 years",12265,
"all items","total","all items","2011","Arezzo","population aged 65 and over (percentage values)","females","65 years and over",56.41,
"all items","total","all items","2011","Arezzo","ageing index ","total","total",179.74,
"all items","total","all items","2011","Pesaro e Urbino","resident population (absolute values)","total","until 4 years",17020,
"all items","total","all items","2011","Pisa","resident population (percentage values)","total","85 years and over",3.29,
"all items","total","all items","2011","Marche","population aged 85 and over (percentage values)","females","85 years and over",67.97,
"all items","total","all items","2011","Pesaro e Urbino","population aged 65 and over (percentage values)","females","65 years and over",56.87,
"all items","total","all items","2011","Prato","sex ratio","total","total",93.9,
"all items","total","all items","2011","Umbria","elder for child","total","total",4.45,
"all items","total","all items","2011","Pesaro e Urbino","resident population (absolute values)","total","75 years and over",41661,
"all items","total","all items","2011","Marche","resident population (percentage values)","total","65 years and over",22.95,
"all items","total","all items","2011","Pesaro e Urbino","population aged 85 and over (percentage values)","females","85 years and over",68.12,
"all items","total","all items","2011","Umbria","population aged 65 and over (percentage values)","females","65 years and over",57.43,
"all items","total","all items","2011","Terni","resident population (absolute values)","total","until 5 years",11111,
"all items","total","all items","2011","Prato","resident population (percentage values)","total","until 5 years",6.01,
"all items","total","all items","2011","Grosseto","resident population (absolute values)","total","65 years and over",56272,
"all items","total","all items","2011","Terni","resident population (percentage values)","total","85 years and over",3.98,
"all items","total","all items","2011","Umbria","resident population (absolute values)","females","total",460211,
"all items","total","all items","2011","Prato","population aged 85 and over (percentage values)","females","85 years and over",68.54,
"all items","total","all items","2011","Livorno","resident population (percentage values)","total","until 5 years",4.93,
"all items","total","all items","2011","Pisa","population aged 85 and over (percentage values)","females","85 years and over",69.17,
"all items","total","all items","2011","Grosseto","sex ratio","total","total",91.83,
"all items","total","all items","2011","Livorno","resident population (absolute values)","females","until 4 years",6726,
"all items","total","all items","2011","Prato","resident population (absolute values)","total","75 years and over",25383,
"all items","total","all items","2011","Perugia","population aged 65 and over (percentage values)","females","65 years and over",57.41,
"all items","total","all items","2011","Pisa","resident population (absolute values)","total","until 5 years",22531,
"all items","total","all items","2011","Prato","resident population (absolute values)","total","total",245916,
"all items","total","all items","2011","Livorno","resident population (absolute values)","total","75 years and over",42172,
"all items","total","all items","2011","Firenze","ageing index ","total","total",186.22,
"all items","total","all items","2011","Ancona","resident population (percentage values)","total","until 4 years",4.65,
"all items","total","all items","2011","Grosseto","resident population (absolute values)","total","until 5 years",10397,
"all items","total","all items","2011","Ancona","resident population (percentage values)","total","75 years and over",12.3,
"all items","total","all items","2011","Umbria","resident population (percentage values)","total","85 years and over",3.77,
"all items","total","all items","2011","Grosseto","population aged 65 and over (percentage values)","females","65 years and over",57.51,
"all items","total","all items","2011","Grosseto","resident population (percentage values)","total","until 4 years",3.92,
"all items","total","all items","2011","Arezzo","resident population (percentage values)","total","85 years and over",3.67,
"all items","total","all items","2011","Prato","resident population (absolute values)","total","until 5 years",14781,
"all items","total","all items","2011","Grosseto","elder for child","total","total",5.41,
"all items","total","all items","2011","Firenze","population aged 65 and over (percentage values)","females","65 years and over",57.85,
"all items","total","all items","2011","Firenze","resident population (percentage values)","total","until 4 years",4.37,
"all items","total","all items","2011","Pesaro e Urbino","resident population (absolute values)","total","total",362583,
"all items","total","all items","2011","Pesaro e Urbino","ageing index ","total","total",160.2,
"all items","total","all items","2011","Marche","ageing index ","total","total",171.81,
"all items","total","all items","2011","Ancona","dependency ratio ","total","total",57.98,
"all items","total","all items","2011","Grosseto","ageing index ","total","total",217.91,
"all items","total","all items","2011","Firenze","resident population (percentage values)","total","65 years and over",24.39,
"all items","total","all items","2011","Terni","resident population (absolute values)","females","total",119584,
"all items","total","all items","2011","Arezzo","resident population (absolute values)","total","75 years and over",41821,
"all items","total","all items","2011","Terni","elder for child","total","total",5.25,
"all items","total","all items","2011","Terni","dependency ratio ","total","total",60.54,
"all items","total","all items","2011","Perugia","population aged 85 and over (percentage values)","females","85 years and over",68.56,
"all items","total","all items","2011","Arezzo","resident population (percentage values)","total","until 5 years",5.21,
"all items","total","all items","2011","Umbria","resident population (absolute values)","total","65 years and over",209838,
"all items","total","all items","2011","Umbria","sex ratio","total","total",92.14,
"all items","total","all items","2011","Prato","population aged 65 and over (percentage values)","females","65 years and over",57.18,
"all items","total","all items","2011","Pesaro e Urbino","resident population (absolute values)","total","until 5 years",20399,
"all items","total","all items","2011","Siena","resident population (absolute values)","total","total",266621,
"all items","total","all items","2011","Terni","resident population (absolute values)","total","65 years and over",58329,
"all items","total","all items","2011","Livorno","population aged 85 and over (percentage values)","females","85 years and over",67.93,
"all items","total","all items","2011","Umbria","resident population (absolute values)","total","75 years and over",110807,
"all items","total","all items","2011","Terni","population aged 75 and over (percentage values)","females","75 years and over",61.38,
"all items","total","all items","2011","Ancona","resident population (absolute values)","females","until 4 years",10796,
"all items","total","all items","2011","Marche","sex ratio","total","total",93.79,
"all items","total","all items","2011","Siena","elder for child","total","total",4.78,
"all items","total","all items","2011","Ancona","population aged 85 and over (percentage values)","females","85 years and over",68.71,
"all items","total","all items","2011","Macerata","elder for child","total","total",4.35,
"all items","total","all items","2011","Perugia","resident population (percentage values)","total","85 years and over",3.7,
"all items","total","all items","2011","Terni","sex ratio","total","total",91.02,
"all items","total","all items","2011","Livorno","resident population (absolute values)","females","total",174854,
"all items","total","all items","2011","Ancona","resident population (percentage values)","total","85 years and over",3.72,
"all items","total","all items","2011","Umbria","resident population (absolute values)","total","until 4 years",39262,
"all items","total","all items","2011","Siena","population aged 75 and over (percentage values)","females","75 years and over",60.8,
"all items","total","all items","2011","Livorno","dependency ratio ","total","total",59.65,
"all items","total","all items","2011","Perugia","dependency ratio ","total","total",57.27,
"all items","total","all items","2011","Livorno","resident population (absolute values)","total","65 years and over",84815,
"all items","total","all items","2011","Pisa","elder for child","total","total",4.18,
"all items","total","all items","2011","Marche","population aged 65 and over (percentage values)","females","65 years and over",57.25,
"all items","total","all items","2011","Arezzo","resident population (absolute values)","total","65 years and over",79666,
"all items","total","all items","2011","Arezzo","dependency ratio ","total","total",56.44,
"all items","total","all items","2011","Firenze","resident population (percentage values)","total","85 years and over",3.85,
"all items","total","all items","2011","Livorno","sex ratio","total","total",91.73,
"all items","total","all items","2011","Arezzo","population aged 85 and over (percentage values)","females","85 years and over",67.24,
"all items","total","all items","2011","Grosseto","resident population (absolute values)","females","until 4 years",4148,
"all items","total","all items","2011","Marche","resident population (absolute values)","total","total",1541319,
"all items","total","all items","2011","Livorno","resident population (percentage values)","total","85 years and over",3.71,
"all items","total","all items","2011","Firenze","resident population (absolute values)","females","until 4 years",20362,
"all items","total","all items","2011","Pistoia","resident population (absolute values)","total","65 years and over",67373,
"all items","total","all items","2011","Siena","resident population (absolute values)","total","65 years and over",66503,
"all items","total","all items","2011","Firenze","resident population (percentage values)","total","75 years and over",12.6,
"all items","total","all items","2011","Siena","dependency ratio ","total","total",60.21,
"all items","total","all items","2011","Ancona","population aged 65 and over (percentage values)","females","65 years and over",58.02,
"all items","total","all items","2011","Perugia","resident population (absolute values)","total","total",655844,
"all items","total","all items","2011","Livorno","resident population (absolute values)","total","total",335247,
"all items","total","all items","2011","Perugia","resident population (absolute values)","total","until 5 years",36032,
"all items","total","all items","2011","Macerata","dependency ratio ","total","total",57.79,
"all items","total","all items","2011","Pistoia","resident population (percentage values)","total","65 years and over",23.4,
"all items","total","all items","2011","Prato","dependency ratio ","total","total",54.29,
"all items","total","all items","2011","Firenze","resident population (absolute values)","total","until 5 years",51124,
"all items","total","all items","2011","Prato","resident population (absolute values)","total","65 years and over",51391,
"all items","total","all items","2011","Pisa","dependency ratio ","total","total",56.18,
"all items","total","all items","2011","Grosseto","resident population (absolute values)","total","until 4 years",8654,
"all items","total","all items","2011","Livorno","ageing index ","total","total",209.69,
"all items","total","all items","2011","Arezzo","resident population (absolute values)","total","total",343676,
"all items","total","all items","2011","Pisa","resident population (percentage values)","total","75 years and over",11.48,
"all items","total","all items","2011","Pesaro e Urbino","resident population (absolute values)","total","65 years and over",79997,
"all items","total","all items","2011","Pesaro e Urbino","population aged 75 and over (percentage values)","females","75 years and over",60.99,
"all items","total","all items","2011","Prato","resident population (percentage values)","total","85 years and over",3.06,
"all items","total","all items","2011","Grosseto","resident population (absolute values)","total","75 years and over",29011,
"all items","total","all items","2011","Pesaro e Urbino","dependency ratio ","total","total",55.85,
"all items","total","all items","2011","Siena","ageing index ","total","total",197.33,
"all items","total","all items","2011","Siena","resident population (absolute values)","total","until 4 years",11673,
"all items","total","all items","2011","Siena","resident population (absolute values)","total","75 years and over",36449,
"all items","total","all items","2011","Terni","resident population (percentage values)","total","until 5 years",4.86,
"all items","total","all items","2011","Ancona","elder for child","total","total",4.19,
"all items","total","all items","2011","Arezzo","resident population (absolute values)","total","until 5 years",17910,
"all items","total","all items","2011","Umbria","resident population (percentage values)","total","75 years and over",12.53,
"all items","total","all items","2011","Terni","resident population (absolute values)","total","75 years and over",30464,
"all items","total","all items","2011","Marche","elder for child","total","total",4.25,
"all items","total","all items","2011","Pisa","ageing index ","total","total",175.63,
"all items","total","all items","2011","Perugia","resident population (percentage values)","total","until 5 years",5.49,
"all items","total","all items","2011","Marche","resident population (absolute values)","total","75 years and over",187547,
"all items","total","all items","2011","Terni","resident population (percentage values)","total","until 4 years",4.04,
"all items","total","all items","2011","Pesaro e Urbino","sex ratio","total","total",94.85,
"all items","total","all items","2011","Terni","resident population (percentage values)","total","75 years and over",13.34,
"all items","total","all items","2011","Grosseto","resident population (percentage values)","total","until 5 years",4.71,
"all items","total","all items","2011","Macerata","population aged 65 and over (percentage values)","females","65 years and over",57.29,
"all items","total","all items","2011","Pisa","resident population (absolute values)","total","total",411190,
"all items","total","all items","2011","Pesaro e Urbino","resident population (percentage values)","total","85 years and over",3.46,
"all items","total","all items","2011","Perugia","resident population (percentage values)","total","until 4 years",4.58,
"all items","total","all items","2011","Umbria","dependency ratio ","total","total",58.1,
"all items","total","all items","2011","Livorno","resident population (percentage values)","total","until 4 years",4.1,
"all items","total","all items","2011","Firenze","elder for child","total","total",4.64,
"all items","total","all items","2011","Macerata","ageing index ","total","total",175.75,
"all items","total","all items","2011","Pisa","resident population (absolute values)","total","75 years and over",47209,
"all items","total","all items","2011","Umbria","resident population (absolute values)","total","total",884268,
"all items","total","all items","2011","Firenze","population aged 75 and over (percentage values)","females","75 years and over",61.51,
"all items","total","all items","2011","Grosseto","population aged 75 and over (percentage values)","females","75 years and over",61.18,
"all items","total","all items","2011","Livorno","elder for child","total","total",5.13,
"all items","total","all items","2011","Perugia","elder for child","total","total",4.2,
"all items","total","all items","2011","Marche","resident population (absolute values)","total","65 years and over",353774,
"all items","total","all items","2011","Perugia","resident population (absolute values)","total","75 years and over",80343,
"all items","total","all items","2011","Marche","population aged 75 and over (percentage values)","females","75 years and over",60.97,
"all items","total","all items","2011","Pisa","resident population (absolute values)","total","until 4 years",18936,
"all items","total","all items","2011","Pistoia","resident population (percentage values)","total","until 5 years",5.27,
"all items","total","all items","2011","Livorno","resident population (percentage values)","total","75 years and over",12.58,
"all items","total","all items","2011","Siena","resident population (percentage values)","total","until 5 years",5.21,
"all items","total","all items","2011","Prato","resident population (percentage values)","total","65 years and over",20.9,
"all items","total","all items","2011","Perugia","resident population (percentage values)","total","75 years and over",12.25,
"all items","total","all items","2011","Prato","ageing index ","total","total",146.23,
"all items","total","all items","2011","Pisa","resident population (absolute values)","females","total",212517,
"all items","total","all items","2011","Siena","resident population (percentage values)","total","until 4 years",4.38,
"all items","total","all items","2011","Pistoia","resident population (percentage values)","total","85 years and over",3.54,
"all items","total","all items","2011","Arezzo","resident population (absolute values)","females","total",177169,
"all items","total","all items","2011","Pesaro e Urbino","resident population (percentage values)","total","until 4 years",4.69,
"all items","total","all items","2011","Umbria","resident population (percentage values)","total","65 years and over",23.73,
"all items","total","all items","2011","Marche","dependency ratio ","total","total",57.02,
"all items","total","all items","2011","Umbria","ageing index ","total","total",182.27,
"all items","total","all items","2011","Pesaro e Urbino","resident population (percentage values)","total","65 years and over",22.06,
"all items","total","all items","2011","Ancona","resident population (absolute values)","total","until 4 years",22036,
"all items","total","all items","2011","Arezzo","elder for child","total","total",4.45,
"all items","total","all items","2011","Terni","resident population (absolute values)","females","until 4 years",4479,
"all items","total","all items","2011","Grosseto","resident population (absolute values)","females","total",114979,
"all items","total","all items","2011","Ancona","resident population (absolute values)","total","65 years and over",109984,
"all items","total","all items","2011","Perugia","population aged 75 and over (percentage values)","females","75 years and over",61.23,
"all items","total","all items","2011","Livorno","population aged 75 and over (percentage values)","females","75 years and over",61.23,
"all items","total","all items","2011","Firenze","resident population (absolute values)","total","until 4 years",42490,
"all items","total","all items","2011","Prato","resident population (percentage values)","total","75 years and over",10.32,
"all items","total","all items","2011","Grosseto","resident population (percentage values)","total","65 years and over",25.51,
"all items","total","all items","2011","Ancona","resident population (absolute values)","females","total",245760,
"all items","total","all items","2011","Firenze","resident population (absolute values)","total","65 years and over",237378,
"all items","total","all items","2011","Siena","resident population (percentage values)","total","75 years and over",13.67,
"all items","total","all items","2011","Perugia","resident population (absolute values)","females","total",340627,
"all items","total","all items","2011","Marche","resident population (percentage values)","total","85 years and over",3.62,
"all items","total","all items","2011","Firenze","resident population (absolute values)","total","75 years and over",122572,
"all items","total","all items","2011","Firenze","resident population (absolute values)","females","total",509571,
"all items","total","all items","2011","Ancona","sex ratio","total","total",92.82,
"all items","total","all items","2011","Grosseto","dependency ratio ","total","total",59.29,
"all items","total","all items","2011","Firenze","dependency ratio ","total","total",59.98,
"all items","total","all items","2011","Terni","resident population (absolute values)","total","total",228424,
"all items","total","all items","2011","Prato","resident population (absolute values)","females","until 4 years",5853,
"all items","total","all items","2011","Pisa","resident population (absolute values)","females","until 4 years",9273,
"all items","total","all items","2011","Pisa","population aged 65 and over (percentage values)","females","65 years and over",57.39,
"all items","total","all items","2011","Terni","population aged 85 and over (percentage values)","females","85 years and over",67.62,
"all items","total","all items","2011","Arezzo","resident population (absolute values)","females","until 4 years",7280,
"all items","total","all items","2011","Arezzo","resident population (percentage values)","total","until 4 years",4.37,
"all items","total","all items","2011","Arezzo","population aged 75 and over (percentage values)","females","75 years and over",60.1,
"all items","total","all items","2011","Firenze","sex ratio","total","total",90.97,
"all items","total","all items","2011","Grosseto","resident population (percentage values)","total","75 years and over",13.15,
"all items","total","all items","2011","Pistoia","resident population (absolute values)","total","75 years and over",34324,
"all items","total","all items","2011","Pesaro e Urbino","resident population (percentage values)","total","75 years and over",11.49,
"all items","total","all items","2011","Marche","resident population (percentage values)","total","until 4 years",4.51,
"all items","total","all items","2011","Prato","resident population (absolute values)","females","total",126828,
"all items","total","all items","2011","Ancona","resident population (percentage values)","total","until 5 years",5.54,
"all items","total","all items","2011","Ancona","resident population (absolute values)","total","75 years and over",58295,
"all items","total","all items","2011","Firenze","resident population (percentage values)","total","until 5 years",5.25,
"all items","total","all items","2011","Prato","elder for child","total","total",3.48,
"all items","total","all items","2011","Pistoia","resident population (absolute values)","females","until 4 years",6086,
"all items","total","all items","2011","Arezzo","resident population (percentage values)","total","75 years and over",12.17,
"all items","total","all items","2011","Siena","resident population (absolute values)","females","until 4 years",5738,
"all items","total","all items","2011","Grosseto","population aged 85 and over (percentage values)","females","85 years and over",68.11,
"all items","total","all items","2011","Marche","resident population (percentage values)","total","75 years and over",12.17,
"all items","total","all items","2011","Firenze","population aged 85 and over (percentage values)","females","85 years and over",68.66,
"all items","total","all items","2011","Ancona","population aged 75 and over (percentage values)","females","75 years and over",61.95,
"all items","total","all items","2011","Pisa","resident population (percentage values)","total","until 5 years",5.48,
"all items","total","all items","2011","Marche","resident population (absolute values)","females","total",795375,
"all items","total","all items","2011","Siena","population aged 65 and over (percentage values)","females","65 years and over",57.43,
"all items","total","all items","2011","Pistoia","resident population (percentage values)","total","until 4 years",4.38,
"all items","total","all items","2011","Pistoia","resident population (absolute values)","females","total",149812,
"all items","total","all items","2011","Ancona","resident population (absolute values)","total","total",473865,
"all items","total","all items","2011","Siena","resident population (absolute values)","females","total",138988,
"all items","total","all items","2011","Perugia","resident population (absolute values)","females","until 4 years",14594,
"all items","total","all items","2011","Umbria","resident population (absolute values)","total","until 5 years",47143,
"all items","total","all items","2011","Marche","resident population (absolute values)","females","until 4 years",33865,
"all items","total","all items","2011","Pisa","resident population (percentage values)","total","until 4 years",4.61,
"all items","total","all items","2011","Perugia","resident population (absolute values)","total","65 years and over",151509,
"all items","total","all items","2011","Pistoia","resident population (percentage values)","total","75 years and over",11.92,
"all items","total","all items","2011","Terni","population aged 65 and over (percentage values)","females","65 years and over",57.51,
"all items","total","all items","2011","Prato","resident population (percentage values)","total","until 4 years",4.99,
"all items","total","all items","2011","Grosseto","resident population (percentage values)","total","85 years and over",3.88,
"all items","total","all items","2011","Perugia","sex ratio","total","total",92.54,
"all items","total","all items","2011","Pescara","ageing index ","total","total",156.82,
"all items","total","all items","2011","Lazio","resident population (absolute values)","total","until 4 years",258393,
"all items","total","all items","2011","Macerata","resident population (percentage values)","total","75 years and over",12.59,
"all items","total","all items","2011","Ascoli Piceno","population aged 75 and over (percentage values)","females","75 years and over",60.28,
"all items","total","all items","2011","Abruzzo","resident population (absolute values)","females","total",672912,
"all items","total","all items","2011","Viterbo","resident population (percentage values)","total","75 years and over",11.05,
"all items","total","all items","2011","L'Aquila","resident population (absolute values)","total","total",298343,
"all items","total","all items","2011","Sud","ageing index ","total","total",122.85,
"all items","total","all items","2011","Latina","sex ratio","total","total",95.71,
"all items","total","all items","2011","Pescara","resident population (percentage values)","total","65 years and over",21.47,
"all items","total","all items","2011","Sud","resident population (absolute values)","total","until 5 years",787231,
"all items","total","all items","2011","Pescara","resident population (absolute values)","total","until 4 years",14294,
"all items","total","all items","2011","Rieti","resident population (absolute values)","total","75 years and over",19095,
"all items","total","all items","2011","Rieti","resident population (absolute values)","females","total",79402,
"all items","total","all items","2011","Teramo","resident population (absolute values)","total","total",306349,
"all items","total","all items","2011","Chieti","resident population (absolute values)","total","75 years and over",46164,
"all items","total","all items","2011","Rieti","resident population (percentage values)","total","until 5 years",4.74,
"all items","total","all items","2011","Sud","resident population (absolute values)","total","total",13977431,
"all items","total","all items","2011","Teramo","ageing index ","total","total",159.29,
"all items","total","all items","2011","Abruzzo","elder for child","total","total",4.24,
"all items","total","all items","2011","Teramo","resident population (percentage values)","total","65 years and over",21.08,
"all items","total","all items","2011","Sud","resident population (absolute values)","total","until 4 years",652143,
"all items","total","all items","2011","Frosinone","sex ratio","total","total",95.29,
"all items","total","all items","2011","Rieti","resident population (absolute values)","females","until 4 years",2992,
"all items","total","all items","2011","Lazio","resident population (absolute values)","total","75 years and over",539952,
"all items","total","all items","2011","Frosinone","resident population (absolute values)","total","75 years and over",51757,
"all items","total","all items","2011","Macerata","resident population (absolute values)","total","65 years and over",74606,
"all items","total","all items","2011","L'Aquila","ageing index ","total","total",178.72,
"all items","total","all items","2011","Frosinone","resident population (absolute values)","total","until 4 years",20993,
"all items","total","all items","2011","Roma","resident population (absolute values)","total","total",3997465,
"all items","total","all items","2011","Viterbo","population aged 75 and over (percentage values)","females","75 years and over",60.87,
"all items","total","all items","2011","L'Aquila","resident population (absolute values)","total","until 5 years",14367,
"all items","total","all items","2011","Rieti","elder for child","total","total",4.92,
"all items","total","all items","2011","Ascoli Piceno","resident population (percentage values)","total","65 years and over",23.04,
"all items","total","all items","2011","Roma","dependency ratio ","total","total",52.13,
"all items","total","all items","2011","Roma","resident population (absolute values)","total","until 5 years",231002,
"all items","total","all items","2011","Ascoli Piceno","ageing index ","total","total",180.69,
"all items","total","all items","2011","Teramo","resident population (absolute values)","total","until 5 years",15875,
"all items","total","all items","2011","Sud","resident population (percentage values)","total","65 years and over",18.37,
"all items","total","all items","2011","Viterbo","population aged 85 and over (percentage values)","females","85 years and over",67.79,
"all items","total","all items","2011","Ascoli Piceno","resident population (absolute values)","total","65 years and over",48482,
"all items","total","all items","2011","Lazio","ageing index ","total","total",146.45,
"all items","total","all items","2011","Rieti","population aged 75 and over (percentage values)","females","75 years and over",59.78,
"all items","total","all items","2011","Lazio","resident population (percentage values)","total","65 years and over",20.22,
"all items","total","all items","2011","Pescara","resident population (absolute values)","total","until 5 years",17137,
"all items","total","all items","2011","Abruzzo","population aged 75 and over (percentage values)","females","75 years and over",60.93,
"all items","total","all items","2011","L'Aquila","resident population (absolute values)","total","until 4 years",12063,
"all items","total","all items","2011","L'Aquila","resident population (percentage values)","total","65 years and over",21.79,
"all items","total","all items","2011","Rieti","resident population (percentage values)","total","until 4 years",3.95,
"all items","total","all items","2011","Chieti","resident population (percentage values)","total","85 years and over",3.36,
